target,description,type
while,"A period of time, often a short one, when something happens or when you do something.",
title,A synonym for name or caption.,s
heat,The opposite of cold.,a
hope,A positive feeling that things will get better.,
yard,An outdoor area around a house with grass.,
finger,"One of the five long, slender parts at the end of your hand.",
mission,"It a synonym for aim, assignment, or calling.",s
participant,"Someone who takes part in an activity, event, or situation.",
hotel,It is similar to hostel or motel.,s
judge,A person in a courtroom who listens to arguments and decides what happens to people who break the law.,
pattern,"A design or arrangement of shapes, colors, or objects that repeats in a predictable way.",
break,A synonym for pause or interruption.,s
institution,A synonym for establishment.,s
faith,A synonym for belief.,s
folk,It is similar to community or nation.,s
surface,"The top or outside part of something, like the outside of a table or the ground you walk on.",
fall,A synonym for autumn.,s
client,It is someone who uses the services.,
edge,"The very outer part of something, like the border or limit.",
council,A group of people who make decisions and plans for a town or community.,
device,A synonym for machine or gadget.,s
firm,It is a synonym for company or enterprise.,s
responsibility,It is similar to duty or obligation.,s
chair,It is the opposite for table.,a
internet,A huge digital network.,
october,It is the second month of autumn.,
investment,When you use your money to buy something with the hope that it will make you more money in the future.,
ship,"A large watercraft used for transportation, commerce, or exploration.",
content,"Information contained or provided by something, typically through digital platforms.",
consumer,Someone who buys and uses goods and services.,
element,A fundamental particle that makes up an atom.,
spirit,It is a synonym for character or humor.,s
track," A narrow, elevated road.",
run,It is the opposite of walk.,a
wind,A movement of air that can be felt and heard.,
lack,It is a synonym for absence or shortage.,s
journal,An organized record of important information.,
ice,Water in a solidified form.,
collection,A group or assemblage of various items.,
soldier,A synonym for fighter or trooper.,s
governor,A synonym for administrator or ruler.,s
fish,Creatures with fins and gills that swim in water.,
shoulder,A body part that connects your arm and your head.,
saturday,It is a day of the week before Sunday.,
editor,A person responsible for reviewing and revising written materials.,
claim,A legal assertion made to obtain a right or property under the law.,
agreement,A contract or arrangement that is reached between two or more parties.,
researcher,It is similar to a scientist.,s
concept,It is similar to notion or idea.,s
band,A group of musicians who perform together.,
restaurant,A place where people can gather to enjoy food and drinks.,
league,A group of sports teams that play against each other in a series of games.,
capital,Center of political and economic activity in a city or country.,
april,It is the second month of spring.,
magazine,It is a synonym for journal.,s
status,An individual or group's position in society or the hierarchy of a group.,
hill,It is similar to a mountain.,s
kitchen,A room or area within a building used for food preparation and cooking.,
screen,It is a synonym for a monitor.,s
mistake,It is similar to error.,s
battle,It is a synonym for combat or fight.,s
spot,A small or limited area of land or water where something is located or found.,
corner,The point where two lines or surfaces meet.,
driver,It is the opposite of passenger.,a
beginning,It is the opposite of the end.,a
religion,"Beliefs, rituals, and practices that people hold and follow to connect with a higher power.",
crisis,A situation in which a difficult circumstance that demands urgent action arises.,
museum,A place that exhibits artifacts that reflect culture and history.,
communication,"The process of exchanging information, ideas, and messages.",
murder,Killing of a person.,
object,It is similar to body or entity.,s
blog, An online platform that allows for the creation and publication of written content.,
return,A journey or travel back to a previously visited place.,
belief,It is a synonym for faith.,s
block,A rectangular piece of material used for construction.,
debt,Money that someone owns to somebody.,
labor,It is similar to work or effort.,s
understanding,It is a synonym for comprehension.,s
neighborhood,It is a synonym for area or district.,s
contract,An agreement between two or more parties.,
middle,It is a synonym for center.,s
species,A category of living things that are grouped together based on their physical and biological characteristics.,
sample,"A small piece of something to test, taste, or evaluate.",
path,It is similar to way or route.,s
apple,A large hard fruit with a tart juicy sweet flesh.,
god,It is the antonym for devil or satan.,a
library,It's a place where you can borrow or read books.,
prison,A building designed to hold individuals who have been convicted of a crime.,
hole,A round or circular opening or cavity.,
attempt,It is a synonym for try.,s
code,A sequence of symbols used for programming.,
sales,The number of units of goods or services sold.,
gift,It is a synonym for present.,s
increase,It is the opposite of decrease or fall.,a
garden,"An area of land, usually outdoors, planted with various types of plants, flowers, and other greenery.",
lake,A large body of fresh water that is generally shallow and surrounded by land.,
turn,It is similar to rotating or moving.,s
plane,A flying machine used for transportation or traveling. ,
vehicle,An object or device used for transportation or movement from one location to another.,
application,A computer program designed to perform a specific task.,
thousand,It is a number ten times more than a hundred.,
coffee,A drink that energizes you.,
file,A flat tool used for smoothing or sharpening.,
reform,It is similar to reogranization or modification.,s
gold,It is a precious metal typically used for jewelry or currency.,
planet,A celestial body orbiting a star.,
location,"It is similar to place, area, or spot.",s
bird,"An animal that has wings, feathers, and is capable of flight.",
principle,It is similar to basis or doctrine.,s
search,The action of actively seeking or looking for something.,
possibility,Being able to occur or exist.,
sky,It is the opposite of earth.,a
horse,"A large animal commonly used in transportation, agriculture, hunting, and warfare.",
advantage,It is similar to benefit or leverage.,s
basis,An essential element or concept that forms the foundation of something.,
context,"Environment or setting in which an event, statement, or action occurs.",
christmas,It is a Christian holiday before the New Year.,
strength,It is the opposite of weakness.,a
move,Action of shifting or changing position.,
monday,It is the first day of the week.,
mean,It is a synonym for average.,s
beach,A synonym for shore or strand.,s
writing,The opposite of reading.,a
master,A synonym for professional.,s
scale,It is similar to magnitude or scope.,s
resident,A person who lives in a particular place.,
football,It is a sport game that involves kicking a ball.,
failure,It is the opposite of success.,a
reporter,It's similar to journalist or correspondent.,s
fight,It is similar to combat or battle.,s
one,It is a number before two.,
vision,It's the opposite of blindness.,a
human,A synonym for person or individual.,s
will,A synonym for determination.,s
connection,"A synonym for association, bond, or link.",s
camp,"A place where people stay temporarily, especially for recreation or military purposes.",
stone,"A hard, solid piece of rock.",
hundred,A large number that is equal to 10 times 10.,
key,It can be used to unlock a door.,
truck,It is a synonym for lorry or van.,s
afternoon,It is a time of the day before evening.,
secretary,A person who assists a manager or other executive.,
conflict,It is the opposite of agreement.,a
learning,The act of acquiring knowledge or skills.,
share,A portion of something that is divided among two or more people.,
newspaper,It is similar to periodical or gazette.,s
foundation,The basis or groundwork of something.,
variety,It is a synonym for diversity or assortment.,s
perspective,It is a synonym for angle or viewpoint.,s
document,"It is similar to a record, paper, or file.",s
presence,It is the opposite of absence.,a
lesson, A time when someone teaches you something.,
crowd,It is a large mass of people.,
apartment,It is a synonym for house or flat.,s
guest,It is a synonym for visitor.,s
soul,It is opposite to body or matter.,a
protection,It is similar to defense or shelter.,s
intelligence,It is the opposite of stupidity.,a
border,It is similar to boundary.,s
reading,The process of understanding written or printed text.,
leadership,It is the opposite of followership or obedience.,a
chief,It is an opposite of subordinate.,a
attitude,It is similar to disposition or mindset.,s
start,It is a synonym for beginning.,s
website,A collection of web pages that are hosted on a server.,
distance,It is the opposite of proximity.,a
climate,It is similar to weather or atmosphere.,s
relation,It is similar to connection or association.,s
flight,It is something that birds and airplanes do.,
boat,A watercraft that is smaller than a ship.,
aspect,It is similar to nuance or detail.,s
january,It is the first month of winter.,
volume,It is similar to capacity or size.,s
theater,"A place where plays, musicals, and operas are staged.",
speed,It is similar to velocity.,s
identity,It is similar to self or personality.,s
demand,It is the opposite for supply.,a
guard,A person or thing that protects or watches over something.,
tuesday,It is a day that comes after Monday.,
facility,It is a synonym for amenity.,s
farm,A place where crops and/or animals are raised for food.,
fun,A synonym for entertainment.,s
august,It is the last month of summer.,
link,It is similar to association or tie.,s
shoe,It is something we wear on our legs.,
institute,It is similar to academy or college.,s
living,The state of being alive.,
quarter,It is one fourth of something.,
forest,A large area of land covered with trees.,
poll,It is similar to a survey or ballot.,s
background,A history of something or someone.,
winter,It is the coldest season of the year.,
focus,It is similar to concentration.,s
shop,It is similar to store or mall.,s
division,It is the opposite of multiplication.,a
advice,It is similar to recommendation.,s
reaction,It is similar to response or answer.,s
injury,It is a synonym for trauma or damage.,s
it,"A broad term that refers to the use of computers, software, and other technologies.",
ticket,It is similar to a pass or voucher.,s
grade,It is a synonym for mark or score.,s
birth,The beginning of a new life.,
painting,It is a synonym for art or picture.,s
outcome,It is a synonym of result.,s
enemy,It is the opposite of friend.,a
damage,It's the opposite of repair.,a
being,It is similar to the beast or creature.,s
storm,It is similar to hurricane or tornado.,s
shape,It is similar to form or outline.,s
bowl,It is something used for serving food or mixing ingredients.,
commission,It is a synonym for fee or payment.,s
captain,It is the leader of a group of people or a team.,
ear,A sense organ that allows us to hear.,
troop,"A group of people or animals, especially when they are organized and moving together.",
wood,A natural material made from trees.,
lead,A position of advantage or superiority.,
minister,A person who is appointed to a high office in the government or church.,
neighbor,It is someone who lives nearby.,
software,The opposite of hardware.,a
finding,It is similar to discovery.,s
lord,The opposite of servant or slave.,a
drive,It is similar to motivation.,s
temperature,A measure of the hotness or coldness of something.,
cut,It is similar to incision.,s
influence,It is similar to effect or impact.,s
procedure,A synonym for process or method.,s
respect,It is similar to admiration or honor.,s
wave,Something that we see on the surface of the sea.,
tradition,It is an opposite of innovation.,a
actor,It is someone who plays in the movies or plays.,
cat,The opposite of dog.,a
bus,It is a type of public transport.,
clothes,Things we wear.,
affair,It is similar to a fling or romance.,s
contact,It is an opposite of isolation or separation.,a
category,It is a synonym for type or sort.,s
victory,It is the antonym for defeat.,a
map,"A representation of a place or area, showing its features, such as roads, rivers, and mountains.",
egg,"A round object produced by birds and other animals, containing a developing embryo.",
general,It's something that is not specific or detailed.,
expression,"A way of showing something, such as a feeling or an idea.",
session,"A period of time during which something happens, such as a meeting or a class.",
competition,A contest between two or more people or groups to achieve something.,
technique,"A way of doing something, especially a particular skill.",
average,A number that represents the middle of a set of numbers.,
wine,An alcoholic drink made from fermented grapes.,
youth,The period of life between childhood and adulthood.,
weather,"The state of the atmosphere at a particular place and time, especially in terms of temperature, humidity, wind, and precipitation.",
medicine,A substance or preparation used to treat or prevent disease.,
novel,A long story about imaginary people and events.,
thursday,The fourth day of the week.,
exchange,A system for buying and selling goods or currencies.,
bay,A body of water that is partly enclosed by land.,
conclusion,The end of something; a final decision or outcome.,
progress,Forward movement or development.,
surprise,An unexpected event or occurrence.,
assessment,A judgment or evaluation of something.,
smile,A facial expression that shows happiness or amusement.,
cash,Money in the form of coins or notes.,
pound,A unit of weight equal to 16 ounces or 0.45 kilograms.,
pair,Two things that are the same or similar.,
loan,A sum of money that is borrowed from someone and has to be repaid with interest.,
village,"A small, rural community.",
half,One of two equal parts of something.,
suit,A set of clothes that are designed to be worn together.,
meaning,The significance or interpretation of something.,
supply,An amount of something that is available for use.,
honey,"A sweet, sticky substance made by bees from nectar.",
bone,"A hard, white tissue that forms the skeleton of animals.",
consequence,The result or effect of something.,
regulation,A rule or law that is made to control something.,
award,A prize or honor given to someone for their achievements.,
bottom,The lowest part of something.,
classroom,"A place where people learn, for example at school or university.",
reference,A source of information or authority.,
lunch,A meal eaten in the middle of the day.,
ad,A short commercial.,
desire,A strong wish or longing for something.,
instruction,A command or direction that tells someone what to do.,
emergency,A situation that requires immediate action.,
thinking,The mental process of forming ideas.,
tour,A journey for pleasure or sightseeing.,
moon,"A large, round object that orbits a planet and reflects light from the sun.",
address,The location of a person or place.,
december,It is the first month of winter.,
chicken,A domesticated bird that is raised for its meat or eggs.,
fuel,"A substance that is burned to produce heat or power, used in cars for example.",
abuse,The act of treating someone or something with cruelty or violence.,
construction,The process of building something.,
wednesday,It is the day in the middle of the week.,
intervention,"The act of interfering in something, especially to try to improve it.",
visit,"A short stay in a place, especially for pleasure or business.",
coast,The land along the edge of the sea.,
cover,Something that protects or conceals something else.,
cop,An informal denotation for a police officer.,
baseball,"A game played between two teams of nine players each, with a bat and ball.",
email,A message that is sent electronically from one computer to another.,
accident,An unplanned and unexpected event that causes damage or injury.,
front,The part of something that faces forward.,
duty,Something that is required to be done by law or custom.,
revenue,The income that a company or organization receives from its activities.,
trend,A general direction in which something is developing or changing.,
ring,A piece of jewelry that is worn on a finger.,
breath,The air that is inhaled and exhaled by the lungs.,
inch,A unit of length equal to one twelfth of a foot.,
neck,The part of the body that connects the head to the rest of the body.,
core,The central or most important part of something.,
billion,The number equal to 1000 million.,
miss,"An unmarried woman or girl, especially a schoolgirl.",
drink,A liquid that is consumed for pleasure or refreshment.,
literature,"Writings, especially those of recognized artistic merit.",
mayor,The elected head of a city or town.,
importance,The significance or value of something.,
danger,It is the opposite of safety.,a
knee,The joint where the thighbone meets the shinbone.,
ass,It is a synonym for butt.,s
traffic,The movement of vehicles along roads.,
train,"A long line of connected vehicles, people, or animals moving together.",
plate,"A flat, circular dish used for serving food.",
equipment,The things that are needed for a particular activity or job.,
studio,"A place where artists, musicians, or photographers work.",
secret,Something that is kept hidden or not known to many people.,
engine,"A machine that converts one form of energy into another, especially mechanical energy from heat, used in cars or planes for example.",
luck,"The force that seems to influence events in a positive or negative way, apparently independent of one's own actions.",
panel,A group of people who are gathered to discuss or decide something.,
hero,"A person who is admired for their courage or outstanding achievements, for example in movies or fairytales.",
circle,A round shape with no straight sides.,
critic,A person who judges the quality of something.,
episode,A single event or incident in a series.,
check,A way to make sure something is correct or in good condition.,
requirement,Something that is needed or essential.,
politician,A person who is involved in politics.,
rain,Water that falls from the sky in drops.,
colleague,A person who works in the same place as you.,
beer,"An alcoholic drink made from malted barley, hops, yeast, and water.",
exercise,Physical activity that is done to improve or maintain fitness.,
democracy,It is the opposite of dictatorship.,a
setting,The time and place in which a story or event takes place.,
honor,A high regard for someone or something based on their qualities or actions.,
works,"A factory, mine, or other industrial establishment.",
theme,"The underlying subject or message of a piece of writing, music, or art.",
male,a person or animal with the biological sex that can produce sperm.,
pool,"A large area of water surrounded by land,often used for swimming.",
pocket,"A small, enclosed space in a garment or bag for carrying small items.",
sugar,"A sweet, white crystalline substance that is used as a sweetener.",
teaching,The act of imparting knowledge or skills to others.,
chairman,The leader of a meeting or organization.,
error,A mistake or a fault.,
bridge,"A structure that spans a gap or obstacle, typically carrying a road, railway, or waterway.",
flower,A plant that has brightly colored petals and usually sweet-smelling.,
limit,The greatest or smallest amount or extent of something.,
coverage,The extent to which something is covered or protected.,
crew,A group of people working together on a particular task.,
balance,The state of being evenly distributed.,
lip,"The fleshy, movable part of the mouth that surrounds the teeth.",
zone,An area or region with a particular character or purpose.,
wedding,A ceremony in which two people are married.,
copy,"A reproduction of something, such as a document or drawing.",
joke,A funny story or remark.,
meal,A regular occasion for eating food.,
minority,It is the opposite of majority.,a
sight,It is similiar to vision or scenery.,s
sleep,A natural state of rest during which the body and mind are inactive.,
dress,A piece of clothing that covers the body from the waist down.,
release,The act of setting something free.,
profit,An amount of money that a business makes after it has paid its expenses.,
gender,A person's social identity in relation to the categories of male and female.,
tape,"A long, narrow strip of material used for recording or binding things together.",
ocean,A large body of salt water that covers much of the Earth's surface,
host,It's the opposite of a guest.,a
circumstance,A condition or situation that affects something else.,
boss,A person who has authority over others in a workplace.,
tea,A hot drink made from the leaves of certain plants.,
manner,A way of behaving or doing something.,
cloud,A mass of condensed water vapor in the atmosphere that appears as a white or grayish patch.,
winner,It is the opposite of looser.,a
sentence,A group of words that expresses a complete thought.,
request,A polite or formal statement asking for something.,
appearance,The way something looks.,
salt,"A white, hard mineral that is used to flavor food and preserve it.",
beauty,The quality of being pleasing to the senses or mind.,
bottle,A container for liquids that is made of glass or plastic and has a narrow neck.,
component,A part of something larger.,
fee,A payment made for a service.,
dance,"A rhythmic movement of the body, typically to music.",
shirt,"shirt, A piece of clothing, often without sleeves, that covers the upper body and arms.",
tip,A small amount of money given to someone for their service.,
plastic,A material that is made from oil and is used to make many different things.,
tooth,"A hard, white structure in the mouth that is used for chewing.",
meat,The flesh of an animal used as food.,
stress,A state of mental or emotional strain or tension.,
february,It is the last month of winter.,
constitution,The fundamental laws and principles of a country or organization.,
definition,A statement of the meaning of a word or phrase.,
uncle,It is the opposite for aunt.,a
metal,A solid material that is shiny and can be hammered or shaped.,
album,A collection of photographs or music recordings.,
self,One's own personality or identity.,
investor,Someone who puts money into a business or other venture in the hope of making a profit.,
fruit,The sweet and fleshy product of a tree or other plant.,
desk,"A piece of furniture with a flat top and drawers, used for writing or working.",
valley,A low area of land between hills or mountains.,
abortion,Ending a pregnancy before the fetus is viable.,
chapter,A division of a book or other written work.,
commitment,A promise or obligation to do something.,
proposal,A plan or suggestion for doing something.,
capacity,The ability to hold or contain something.,
nose,"nose, The part of the face that is above the mouth and contains the nostrils.",
variable,Something that can change or vary.,
convention,An event or meeting where people gather to discuss or agree on something.,
jury,A group of people who are chosen to decide the guilt or innocence of a person accused of a crime.,
root,The part of a plant that grows underground and absorbs water and nutrients.,
incident,An event that happens unexpectedly.,
hearing,The sense of being able to perceive sounds.,
payment,The act of giving someone money in return for goods or services.,
bear,"A large, furry mammal with a long snout and claws.",
surgery,A medical procedure performed on a patient.,
shadow,A dark area or shape cast by a body blocking light.,
witness,A person who sees or hears something happen.,
chest,The upper part of the body between the neck and the abdomen.,
amendment,A change or alteration to something.,
extent,The amount or range of something.,
pleasure,A feeling of enjoyment or satisfaction.,
holiday,It is a synonym for vacation.,s
talent,A natural ability to do something well.,
expectation,A belief that something will happen or be the case.,
ride,A journey on a vehicle or a horse.,
wing,A part of an aircraft or bird that provides lift.,
corporation,It is a synonym for company or business.,s
sector,A part of an area or whole.,
fat,A type of tissue that is found in the body and helps to store energy.,
experiment,A scientific procedure carried out to test or establish the validity of a hypothesis.,
farmer,A person who owns or operates an agrobusiness.,
english,It is something related to England.,r
confidence,A feeling of self-assurance or belief in one's own abilities.,
bunch,A number of things growing or gathered together.,
speaker,It is a person who talks.,
breast,"The upper front part of the body of a woman or mammal, containing the mammary glands.",
leaf,"A flat, green organ that grows on a plant and helps it to photosynthesize.",
interaction,The action of two or more things influencing each other.,
hat,A head covering that is typically worn for protection from the sun or cold.,
doubt,A feeling of uncertainty or skepticism.,
promise,A statement that you will do something.,
nurse,A person who provides care for the sick or injured in a hospital.,
gene,A unit of heredity that is passed from parents to offspring.,
package,A collection of things wrapped or enclosed together.,
difficulty,A state of being hard to do or understand.,
daddy,"A synonym of father, often used by children.",
era,A period of time with its own distinctive characteristics.,
aid,Help or assistance.,
notion,An idea or belief.,
explanation,A statement that makes something clear.,
airport,A place where aircraft take off and land.,
chain,,
channel,,
tear,,
estate,,
offer,,
guide,,
bond,,
birthday,,
travel,,
improvement,,
trail,,
fashion,,
length,,
sheet,,
funding,,
fault,,
motion,,
combination,,
description,,
snow,,
marketing,,
bomb,,
muscle,,
rise,,
creation,,
spending,,
instrument,,
mass,,
noise,,
e-mail,,
cycle,,
signal,,
app,,
perception,,
visitor,,
contrast,,
judgment,,
representative,,
pass,,
regime,,
producer,,
route,,
lie,,
analyst,,
female,,
disability,,
comparison,,
rating,,
campus,,
branch,,
gentleman,,
opposition,,
hit,,
athlete,,
opening,,
prayer,,
basketball,,
revolution,,
emotion,,
fuck,,
platform,,
frame,,
appeal,,
potential,,
struggle,,
brand,,
legislation,,
lab,,
row,,
immigration,,
asset,,
observation,,
taste,,
household,,
existence,,
mirror,,
pilot,,
stand,,
relief,,
milk,,
warning,,
heaven,,
flow,,
calorie,,
seed,,
bike,,
employer,,
disaster,,
sale,,
bathroom,,
agenda,,
enforcement,,
diet,,
mark,,
silence,,
journalist,,
queen,,
expense,,
cream,,
exposure,,
priority,,
soil,,
angel,,
journey,,
trust,,
tank,,
cheese,,
schedule,,
bedroom,,
tone,,
selection,,
wheel,,
gap,,
veteran,,
characteristic,,
protein,,
resolution,,
whole,,
engineer,,
walk,,
dish,,
waste,,
print,,
depression,,
dude,,
present,,
ceo,,
initiative,,
gate,,
entry,,
assistance,,
height,,
phase,,
conservative,,
criticism,,
faculty,,
achievement,,
alcohol,,
therapy,,
offense,,
touch,,
killer,,
personality,,
landscape,,
transition,,
column,,
button,,
opponent,,
immigrant,,
distribution,,
golf,,
alternative,,
favorite,,
stop,,
portion,,
suicide,,
deficit,,
symptom,,
complaint,,
philosophy,,
childhood,,
well,,
dark,,
wealth,,
welfare,,
poverty,,
prosecutor,,
shift,,
buck,,
display,,
knife,,
round,,
tech,,
detective,,
disorder,,
creature,,
housing,,
watch,,
chip,,
tie,,
command,,
shooting,,
layer,,
bread,,
exception,,
passion,,
highway,,
commander,,
publication,,
win,,
mystery,,
championship,,
tale,,
liberty,,
passenger,,
physician,,
graduate,,
substance,,
atmosphere,,
passage,,
pepper,,
cable,,
square,,
recipe,,
roof,,
vegetable,,
habit,,
discovery,,
total,,
recovery,,
dna,,
gain,,
territory,,
girlfriend,,
proof,,
parking,,
sin,,
rice,,
engineering,,
advance,,
cake,,
flag,,
good,,
jail,,
match,,
interpretation,,
wage,,
breakfast,,
profile,,
saving,,
reduction,,
bitch,,
entertainment,,
academy,,
teaspoon,,
count,,
avenue,,
priest,,
grass,,
edition,,
infection,,
suggestion,,
resistance,,
prince,,
illness,,
republic,,
volunteer,,
evaluation,,
mine,,
black,,
iron,,
phrase,,
assumption,,
sand,,
designer,,
planning,,
mode,,
occasion,,
festival,,
cap,,
mechanism,,
intention,,
scenario,,
transportation,,
pot,,
boyfriend,,
consideration,,
retirement,,
cigarette,,
factory,,
clip,,
giant,,
slave,,
christian,,
wonder,,
participation,,
stream,,
origin,,
teen,,
coat,,
tower,,
license,,
twitter,,
curriculum,,
mail,,
insight,,
investigator,,
virus,,
hurricane,,
provision,,
strike,,
cross,,
jacket,,
green,,
pay,,
implication,,
fiction,,
protest,,
mama,,
twin,,
pant,,
shock,,
criteria,,
toy,,
assault,,
peak,,
anger,,
boot,,
peer,,
math,,
favor,,
dust,,
aunt,,
prospect,,
mood,,
settlement,,
depth,,
juice,,
gallery,,
tension,,
throat,,
draft,,
reputation,,
index,,
mess,,
joy,,
steel,,
motor,,
salary,,
cousin,,
dozen,,
evolution,,
fishing,,
anxiety,,
professional,,
carbon,,
essay,,
drama,,
stranger,,
belt,,
formula,,
potato,,
monster,,
smoke,,
telephone,,
rape,,
palm,,
jet,,
navy,,
angle,,
prisoner,,
discipline,,
negotiation,,
butter,,
desert,,
prize,,
bullet,,
awareness,,
sequence,,
drop,,
pack,,
provider,,
activist,,
poem,,
vacation,,
gang,,
privacy,,
clock,,
penalty,,
stomach,,
concert,,
statistics,,
bureau,,
wolf,,
recommendation,,
maker,,
impression,,
battery,,
sake,,
delivery,,
rep,,
diversity,,
string,,
deputy,,
buddy,,
evil,,
lane,,
bean,,
sauce,,
testing,,
trick,,
fantasy,,
absence,,
symbol,,
recognition,,
tablespoon,,
arrest,,
approval,,
aids,,
independence,,
rose,,
ghost,,
involvement,,
wire,,
mouse,,
airline,,
founder,,
objective,,
phenomenon,,
silver,,
cent,,
teenager,,
viewer,,
chocolate,,
grandmother,,
missile,,
adventure,,
manufacturer,,
crop,,
survival,,
dimension,,
roll,,
darkness,,
educator,,
personnel,,
terrorist,,
elite,,
emphasis,,
destruction,,
chart,,
pace,,
finance,,
champion,,
suspect,,
barrier,,
advocate,,
label,,
burden,,
violation,,
idiot,,
lifetime,,
routine,,
presentation,,
gear,,
stadium,,
mortgage,,
sheriff,,
clinic,,
coalition,,
mix,,
menu,,
advertising,,
muslim,,
storage,,
framework,,
utility,,
cookie,,
terror,,
worth,,
forum,,
alliance,,
empire,,
corn,,
testimony,,
transfer,,
stake,,
tissue,,
concentration,,
developer,,
ballot,,
chamber,,
stick,,
tiger,,
ratio,,
lover,,
expansion,,
unemployment,,
pet,,
laboratory,,
administrator,,
quarterback,,
rocket,,
preparation,,
relative,,
quote,,
publisher,,
innovation,,
nut,,
fighter,,
rank,,
electricity,,
instance,,
variation,,
laughter,,
wisdom,,
correspondent,,
mixture,,
assistant,,
tomato,,
indian,,
ingredient,,
galaxy,,
scheme,,
gop,,
shame,,
contest,,
introduction,,
boundary,,
tube,,
chef,,
load,,
tongue,,
creek,,
hip,,
decline,,
terrorism,,
respondent,,
narrator,,
voting,,
refugee,,
assembly,,
fraud,,
limitation,,
partnership,,
crash,,
representation,,
hold,,
ministry,,
excuse,,
comedy,,
purchase,,
infrastructure,,
islam,,
port,,
fate,,
dialogue,,
plus,,
frequency,,
tribe,,
establishment,,
shopping,,
celebrity,,
congressman,,
taxpayer,,
pride,,
clothing,,
domain,,
ceiling,,
shelter,,
obligation,,
shower,,
musician,,
dirt,,
pc,,
bell,,
smell,,
ceremony,,
clue,,
guideline,,
comfort,,
pregnancy,,
tourist,,
incentive,,
custom,,
cheek,,
tournament,,
satellite,,
medication,,
script,,
psychology,,
logic,,
economics,,
update,,
devil,,
beat,,
charity,,
fiber,,
friendship,,
net,,
motivation,,
reserve,,
observer,,
humanity,,
survivor,,
fence,,
humor,,
major,,
funeral,,
spokesman,,
extension,,
historian,,
chemical,,
singer,,
onion,,
specialist,,
white,,
pan,,
deck,,
reflection,,
database,,
permission,,
lifestyle,,
lion,,
consumption,,
capability,,
emission,,
sidebar,,
crap,,
dealer,,
measurement,,
adviser,,
imagination,,
tragedy,,
consultant,,
lieutenant,,
acre,,
drawing,,
scandal,,
ambassador,,
bench,,
counter,,
odds,,
rat,,
horror,,
prevention,,
segment,,
tail,,
implementation,,
strip,,
preference,,
feedback,,
health-care,,
criminal,,
can,,
buyer,,
cooperation,,
profession,,
killing,,
photographer,,
engagement,,
paint,,
pitch,,
salad,,
stair,,
notice,,
grace,,
divorce,,
vessel,,
pig,,
assignment,,
distinction,,
circuit,,
acid,,
efficiency,,
memorial,,
blue,,
entity,,
iphone,,
punishment,,
pill,,
myth,,
economist,,
craft,,
poetry,,
thread,,
privilege,,
coal,,
fool,,
cow,,
pie,,
resort,,
legacy,,
scope,,
formation,,
grandfather,,
wish,,
margin,,
wound,,
legislature,,
portrait,,
catholic,,
uniform,,
miracle,,
harm,,
tactic,,
mask,,
inflation,,
hunting,,
final,,
flesh,,
fellow,,
nerve,,
lung,,
headline,,
defendant,,
pole,,
entrance,,
aircraft,,
cabinet,,
happiness,,
admission,,
correlation,,
proportion,,
dispute,,
candy,,
reward,,
counselor,,
recording,,
pile,,
explosion,,
couch,,
furniture,,
significance,,
magic,,
commissioner,,
shelf,,
warrior,,
physics,,
garage,,
flavor,,
oven,,
satisfaction,,
discrimination,,
recession,,
allegation,,
boom,,
restriction,,
diamond,,
conviction,,
heel,,
fame,,
swing,,
playoff,,
actress,,
format,,
controversy,,
auto,,
grant,,
grocery,,
headquarters,,
shade,,
meter,,
pipe,,
celebration,,
handful,,
copyright,,
signature,,
bishop,,
soup,,
carrier,,
anniversary,,
pizza,,
ethics,,
legend,,
eagle,,
scholarship,,
crack,,
membership,,
standing,,
possession,,
treaty,,
consciousness,,
manufacturing,,
announcement,,
makeup,,
pop,,
prediction,,
stability,,
norm,,
genius,,
operator,,
mall,,
rumor,,
poet,,
tendency,,
alien,,
maintenance,,
courage,,
vaccine,,
identification,,
sandwich,,
bull,,
lens,,
presidency,,
integrity,,
bias,,
hypothesis,,
nomination,,
delay,,
adjustment,,
sanction,,
examination,,
currency,,
flame,,
guitar,,
doctrine,,
palestinian,,
commerce,,
robot,,
particle,,
glove,,
jazz,,
infant,,
summary,,
server,,
leather,,
radiation,,
composition,,
discourse,,
wildlife,,
soccer,,
complex,,
mandate,,
monitor,,
nightmare,,
barrel,,
globe,,
feel,,
gesture,,
tent,,
receiver,,
horizon,,
diagnosis,,
gospel,,
fighting,,
stroke,,
duck,,
grain,,
beast,,
remark,,
fabric,,
civilization,,
corruption,,
collapse,,
ma'am,,
workshop,,
inquiry,,
cd,,
rifle,,
closet,,
reporting,,
curve,,
patch,,
touchdown,,
earnings,,
hunter,,
fly,,
tunnel,,
corps,,
german,,
weakness,,
doc,,
medium,,
virtue,,
ounce,,
confusion,,
midnight,,
deer,,
heritage,,
summit,,
sword,,
telescope,,
blade,,
toe,,
agriculture,,
dose,,
prescription,,
adoption,,
grave,,
rope,,
transaction,,
lawn,,
bubble,,
princess,,
log,,
blanket,,
laugh,,
kingdom,,
bug,,
primary,,
nominee,,
transformation,,
temple,,
arrival,,
frustration,,
demonstration,,
pollution,,
poster,,
nail,,
cry,,
guidance,,
pen,,
lemon,,
bankruptcy,,
invasion,,
replacement,,
consensus,,
kiss,,
french,,
hardware,,
rail,,
cold,,
mate,,
cabin,,
dining,,
liberal,,
snake,,
tobacco,,
orientation,,
input,,
